事件ID,事件名称,事件类型,参数,参数描述,值
uploadFileChooseFile_click,选择文件,,position,统计位置：1、在详情页选择文件；2、在列表页选择文件,1、detailPage；2、listPage
selectPerson_cancelSelectAll,选择人员取消全选,普通事件,,,
selectPerson_search,选择人员快速搜索,普通事件,,,
selectPerson_selectAll,选择人员全选,普通事件,,,
selectStudentPage_view,访问选择学生页面,普通事件,source,统计入口：1、发布记录页；2；家长通知,1、createStory；2、parentNotification
selectStudent_filter,选择学生快速筛选,普通事件,source,,
selectTeacherPage_view,访问选择老师页,普通事件,source,统计入口：1、发布记录页；2；学校通知,1、createStory；2、schoolNotification
standardPage_view,访问选择学习目标页面,普通事件,source,统计入口：1、首页feed；2、发布记录页,1、homepageFeed；2、createStory
uploadFileListPage_view,上传图片列表页,,source,统计入口：1、记录内；2、私信内；3、家长通知内；4、学校通知内,1、story；2、message；3、parent Notification；4、schoolNotification
storyLike_click,点赞记录,,source,统计入口：1、首页；2、记录页；3、学生主页,1、homepage；2、familyStoryPage；3、studentHomepage
storyCancelLike_click,取消点赞记录,,source,统计入口：1、首页；2、记录页；3、学生主页,1、homepage；2、familyStoryPage；3、studentHomepage
storyComment_click,评论记录,,source,统计入口：1、首页；2、记录页；3、学生主页, 1、homepage；2、familyStoryPage；3、studentHomepage
storyReplyComment_click,回复评论,,source,统计入口：1、首页；2、记录页；3、学生主页,1、homepage；2、familyStoryPage；3、studentHomepage
storyCreatePage_view,访问发布记录页,,templateName_Name,统计模版名称+ID  “xxxx_id”,
storyShare_click,分享记录,,,,
storyEdit_click,编辑记录,,,,
storyDelete_click,删除记录,,,,
schedule_click,点击课程表,普通事件,,,
calendar_click,点击校历,普通事件,,,
recipe_click,点击食谱,普通事件,,,
QRcode_click,点击我的出勤码,普通事件,,,
training_click,点击教师培训,普通事件,,,
links_click,点击内部办公,普通事件,,,
attendance_click,点击出勤,普通事件,,,
classes_click,点击我的班级,普通事件,,,
AddClass_click,点击新建班级,普通事件,,,
classManagement_click,点击班级管理,普通事件,,,
classAttendance_click,点击班级出勤,普通事件,,,
classStory_click,点击班级记录,普通事件,,,
classAbsence_click,点击请假情况,普通事件,,,
classInvite_click,点击邀请,普通事件,,,
InviteTeacher_click,点击邀请老师,普通事件,source,统计邀请老师方式：1、添加在校老师；2、二维码邀请；,1、Add teacher in school；2、QR code invitation；
QRcodeInviteTeacher_click,点击二维码邀请老师,普通事件,source,统计二维码保存方式：1、微信分享；2、保存图片,1、WeChat Friend；2、Save QR code
InviteStudent_click,点击邀请学生,普通事件,source,统计邀请学生方式：1、添加在校学生；2、二维码邀请；,1、Add student in school；2、QR code invitation；
QRcodeInviteStudent_click,点击二维码邀请学生,普通事件,source,"微信分享
保存图片",1、WeChat Friend；2、Save QR code
Search_click,点击首页搜索,普通事件,,,
Search_InputBox_click,点击搜索页的搜索框,普通事件,,,
scan_click,点击首页扫一扫,普通事件,,,
LessonsRecently_click,点击最近课程提醒的卡片,普通事件,,,
studentsphoto_click,点击学生头像进入学生详情页,普通事件,source,统计入口：1、首页搜索；2、班级管理；3、记录关联,1、homepage；2、classManage；3、story
teachersphoto_click,点击老师头像进入老师详情页,普通事件,source,统计入口：1、首页搜索；2、班级管理；3、记录关联,1、homepage；2、classManage；3、story
studentProfile_view,点击学生信息,普通事件,,,
studentStory_view,点击学生记录,普通事件,,,
studentAttendance_view,点击学生今日出勤,普通事件,,,
studentAttendanceHistory_view,点击学生今日出勤中的出勤历史,普通事件,,,
studentAnalysis_view,点击学生数据分析,普通事件,,,
teacherStory_view,点击老师个人记录,普通事件,,,
teacherProfile_view,点击老师档案信息,普通事件,,,
likes_click,查看赞,普通事件,,,
comments_click,查看评论,普通事件,,,
absent_click,点击请假,普通事件,,,
notificationtome_click,点击收到的通知,普通事件,,,
notificationfromme_click,点击发出的通知,普通事件,,,
systemMessage_click,点击系统通知,,,,
letter_click,点击私信,,,,
announcementdetails_click,访问发出的通知详情页,普通事件,,,
chat_click,点击消息页新建留言,普通事件,,,
chatsearch_click,点击留言页搜索框,普通事件,,,
schoolphoto_click,点击设置中的学校头像,普通事件,source,1、切换学校；2、退出学校,1、Switch School；2、Quit School
myhomepage_click,点击我的主页,普通事件,,,
settings_click,点击设置,普通事件,,,
accountinfo_click,点击设置中的账号信息,普通事件,,,
profilephoto_click,点击账户信息的头像,普通事件,,,
profilename_click,点击账户信息的姓名,普通事件,,,
profilegender_click,点击账户信息的性别,普通事件,,,
profileWeChat_click,点击账户信息的绑定微信,普通事件,,,
profileMagnet_click,点击账户信息的绑定磁场,普通事件,,,
userAgreement_click,点击账户信息的用户协议,普通事件,,,
logout_click,点击账户信息的退出登录,普通事件,,,
studentENname_click,点击显示学生英文名,普通事件,,开、关,1、On；2、Off
feedback_click,点击反馈,普通事件,,,
standardDescription_view,访问标准描述的弹窗,普通事件,,,
standardNode_add,点击添加标准节点按钮,普通事件,,,
standardPickedNode_delete,点击删除标准节点按钮,普通事件,,,
standard_search,点击搜索标准的输入框,普通事件,,,
tagAddPage_view,访问添加标签页,,,,
tag_search,搜索标签,,,,
tagRecommend_click,选择推荐标签,,,,
tagCustom_click,选择自定义标签,,,,
tagCustom_add,添加自定义标签,,,,
HappenedTime_view,访问发生时间action sheet,,,,
voiceToText_click,点击语音转文字,,,,
locationPage_view,访问位置页面,,,,
parentVisiblePage_view,访问家长可见权限页面,,,,
teacherVisiblePage_view,访问老师可见权限页面,,,,
selectLessonPage_view,访问选择课节页面,,,,
uploadFile_preview,预览文件,,,,
storyCreateButton_click,点击首页创建记录按钮,,,,
storyUploadCenterPage_view,访问上传中心页面,,,,
storyReUpload_click,重传记录,,,,
storyCancelUpload_click,取消上传记录,,,,
storyUpload_time,统计上传时长（从开始上传某条记录到某条记录上传成功）,,,,
storySearchHistory_click,点击搜索历史搜索,,,,
storySearchTemplate_click,点击搜索模版搜索,,,,
storySearchTime_click,点击日期搜索,,,,
storySearchChooseTag_click,搜索结果页选择标签,,,,
storySearchChooseStory_click,搜索结果页选择记录,,,,
tabHomePage_click,点击首页,,,,
tabFamilyStoryPage_click,点击家庭记录,,,,